illness;Krankheit;People suffer from more illnesses as they get older. 
treatment;Behandlung;The best treatment I can suggest is to drink water. Verb: (to) treat
suffer from;leiden an;Mary often suffers from severe headaches.
have a nosebleed;Nasenbluten haben;
check your blood pressure;den Blutdruck messen;
pinch;zusammenpressen, kneifen;To stop a nosebleed, sit down and pinch your nose. 
burn;"Verbrennung; verbrennen";
antiseptic;"keimtötend; Desinfektionsmittel";If  you have a cut, put some antiseptic cream on it. 
have a temperature;Temperatur, Fieber haben;He’s got a temperature and his body aches.
have a cough;Husten haben;If  you didn’t smoke, you wouldn’t cough so much. / Verb: (to) cough
have a headache;Kopfschmerzen haben;
have an earache;Ohrenschmerzen haben;
have a stomach ache;Bauchschmerzen haben;
have a rash;einen Ausschlag haben;She gets a red rash all over if she eats strawberries. 
have a blister;eine Blase (am Fuss) haben;I’ve got a blister on my heel from my new shoes.
have a pain;einen Schmerz (in der Brust) haben;
be sick / vomit;sich übergeben;I feel awful, I think I’m going to be sick.
sneeze;niesen;Don’t sneeze over me, I don’t want to catch your cold! 
bleed (bled, bled);bluten (blutete, geblutet);
(swell, swelled) swollen;(schwellen) geschwollen;Her wrist looks very swollen – perhaps it’s broken.  
hurt;schmerzen;I’ve got a really sore throat, it hurts when I swallow. 
ache;"Schmerz; schmerzen";I’ve had stomach ache all day, and I’ve been sick. 
be unconscious;bewußtlos sein;He can’t hear me – I think he’s unconscious. Noun: unconsciousness
lose consciousness;das Bewußtsein verlieren;If  you drink too much alcohol you can lose consciousness. 
have a sore throat;Halsschmerzen haben;I’ve got a really sore throat, it hurts when I swallow. / sore = wund, entzündet
have diarrhoea;Durchfall haben;
feel sick;sich übel fühlen;I feel sick – are you sure that fish was fresh? 
faint;in Ohnmacht fallen;Two soldiers fainted because of the heat.
feel dizzy;sich schwindlig fühlen;I’m feeling dizzy, I think I ought to sit down. 
breathe;atmen;Breathe deeply so I can listen to your lungs. / Noun: breath /bre?/
spin around;herumwirbeln, schnell drehen;
swallow;schlucken, verschlucken;
have flu;die Grippe haben;Flu can be a very serious illness for old people. 
catch (a) cold;sich erkälten;
be allergic to;allergisch sein auf;Tom’s allergic to nuts, they make him really ill. / Noun: allergy
have asthma;Asthma haben;
